name	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Baylor	17	17	17	8	2	17	4	2	3	5	3	2	4	1	1	1	2	2	1	1	2	1
Louisville	10	10	17	13	17	17	17	9	9	6	4	3	17	7	7	5	3	3	3	4	1	1
Mississippi St	17	7	3	17	12	3	17	17	17	17	17	11	7	17	17	17	17	5	5	2	1	1
Notre Dame	9	5	2	1	7	11	5	4	9	9	5	7	2	2	1	1	1	1	1	1	1	1
Connecticut	2	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2
Iowa	4	17	17	4	9	17	9	17	10	17	9	8	8	6	9	9	6	3	17	17	6	2
Oregon	12	5	6	13	17	17	17	10	17	17	17	17	17	17	17	17	17	17	17	10	2	2
Stanford	1	7	9	10	2	3	6	2	3	2	2	2	1	1	1	1	2	4	4	2	4	2
